Nazwa firmy,Tytuł oferty,Kategoria,Poziom doświadczenia,Umiejętności,Mile widziane umiejętności,Czas pracy,Typ miejsca pracy,Typ umowy,Widełki finansowe [PLN],Wynagrodzenie brutto,Województwo,Miasto,Ulica,Otwarte dla obywateli Ukrainy,Zdalna rozmowa kwalifikacyjna,Data publikacji oferty
Data System,Senior Backend Developer,6,senior,"AWS, Docker, Git, Java 14+, Kafka, SQL, Spring Framework, junit5, kubernates",,full_time,remote,B2B,20000.0-23000.0,False,wielkopolskie,Poznań,Centrum,False,False,2025-03-01 11:00:10.484000+00:00
4 o'clock Interactive,Project Manager (web),15,mid,"Automotive, Communication Skills, Project Management, Team Management, Time Management, Web Development Process, Web Solutions",,full_time,office,B2B,7000.0-10000.0,False,małopolskie,Kraków,Ostatnia 1C,True,True,2025-03-01 11:00:10.484000+00:00
Emerson Process Management sp. z o. o.,Product Support Engineer (Technical and Customer Support),21,mid,"Active Directory, Customer Support, MS SQL, Network Administration, Windows Administration, Windows Server",,full_time,hybrid,Permanent,10000.0-20000.0,True,mazowieckie,Warszawa,Konstruktorska 13,False,True,2025-03-01 10:01:14.149000+00:00
Fingoweb,Tester Manualny,11,junior,"Systematyczność, Znajomość podstaw programowania, analityczność, skrupulatność",,full_time,office,Mandate,5100.0-6100.0,True,małopolskie,Kraków,Ostatnia 1C,False,True,2025-03-01 10:01:14.149000+00:00
Experis Manpower Group,SAP DRC Specialist,22,senior,"English, SAP BTP, SAP DRC, e-invoicing",,full_time,remote,B2B,30240.0-40320.0,False,małopolskie,Kraków,Kraków rynek,False,True,2025-03-01 10:01:14.149000+00:00
7N,Konsultant - Wdrożeniowiec Microsoft Dynamics 365,22,mid,"BPMN, Microsoft Dynamics 365, Microsoft Dynamics AX, Power BI",,full_time,remote,B2B,25200.0-33600.0,False,mazowieckie,Warszawa,.,False,True,2025-03-01 10:01:14.149000+00:00
Nexio Management,Linux Administrator,13,mid,"Docker, KVM, Kubernetes, Linux, Red Hat, VMware, Zabbix",,full_time,hybrid,B2B,14000.0-16000.0,False,mazowieckie,Warszawa,Puławska 182,True,True,2025-03-01 10:01:14.149000+00:00
Finalsite Poland,Senior Application Security Engineer,5,senior,"Application Security, Java, Python, Ruby on Rails, Security",,full_time,remote,B2B,26000.0-32000.0,False,łódzkie,Poland (Remote),,True,True,2025-03-01 10:01:14.149000+00:00
emagine Polska,Salesforce Developer,24,mid,".Net, Community Cloud, Java, LWC, Service Cloud",,full_time,hybrid,B2B,27720.0-27720.0,False,mazowieckie,Warszawa,,False,False,2025-03-01 10:01:14.149000+00:00
Experis Manpower Group,GenAI Engineer,25,senior,"AI, Ajax, Amazon AWS, GenAI, LLM, PyTorch, TensorFlow",,full_time,remote,B2B,26880.0-30240.0,False,łódzkie,Łódź,Łódź,False,True,2025-03-01 10:01:14.149000+00:00
emagine Polska,Analityk Biznesowo-Systemowy,19,mid,"Agile, Analytics, BPMN, Business Analysis, English, REST, Scrum, UML",,full_time,hybrid,B2B,21840.0-21840.0,False,mazowieckie,Warszawa,,False,False,2025-03-01 10:01:14.149000+00:00
Fabrity Sp. z o.o.,Analityk biznesowy,17,mid,"ASP.NET MVC, Agile, Analytical Thinking, BPMN, Bazy Danych, English, SQL, Scrum, UML, sparx Enterprise",,full_time,remote,B2B,15120.0-21840.0,False,mazowieckie,Warszawa,,False,False,2025-03-01 10:01:14.149000+00:00
Sofomo,ETL / Data Engineer - Remote/ Wrocław,19,mid,"Amazon AWS, ETL, English, Proactivity, Python, Redshift, SQL",,full_time,remote,B2B,15000.0-18000.0,False,dolnośląskie,Wrocław,Romana Dmowskiego 3,True,True,2025-03-01 10:01:14.149000+00:00
Square One,Fullstack Developer,6,senior,".Net, AWS, Docker, Hibernate, Java, Node.js, REST, React, Spring",,full_time,remote,B2B,25000.0-30000.0,False,mazowieckie,Warszawa,Puławska 2,False,True,2025-03-01 10:01:14.149000+00:00
Tidio,Senior NLP Engineer (LLMs),25,senior,"LLM, MLOps, NLP, PyTorch, Python",,full_time,remote,B2B,23000.0-33000.0,False,mazowieckie,Warszawa,Chmielna 63,False,True,2025-03-01 10:01:14.149000+00:00
ITDS,.NET Developer,7,senior,".NET C#, .NET Core, MS SQL, Microservice Architecture, Visual Studio",,full_time,hybrid,B2B,19000.0-22000.0,False,pomorskie,Gdańsk,Waly Jagiellonskie,False,True,2025-03-01 10:01:14.149000+00:00
ITDS,Data & Reporting Senior Developer,19,senior,"BigQuery, Data Studio, ETL, GCP, Power BI, Python, SQL, Tableau",,full_time,hybrid,B2B,21000.0-24150.0,False,małopolskie,Kraków,Kapelanka 42A,False,True,2025-03-01 10:01:14.149000+00:00
ITLT,Konsultant ds Wdrożeń SAP / Specjalista IT,22,mid,"ERP, SAP",,full_time,hybrid,B2B,21000.0-27000.0,False,mazowieckie,Warszawa,wybrzeże kościuszkowskie,False,True,2025-03-01 10:01:14.149000+00:00
Unatrix,"Backend / DevOps engineer (Node.js, AWS)",1,mid,"AWS, Ansible, Automated Testing, Git, Kubernetes, Linux, Node.js, SQL, Terraform, TypeScript",,full_time,remote,B2B,18000.0-23000.0,False,małopolskie,Kraków,Czyżówka 14,False,True,2025-03-01 10:01:14.149000+00:00
SAVENTIC HEALTH sp. z o.o.,Senior Fullstack Developer (Django/React),5,senior,"Django, PostgreSQL, Python, React, TypeScript",,full_time,remote,B2B,21000.0-27000.0,False,mazowieckie,Warszawa,Mokotowska 1,True,True,2025-02-28 11:01:25.497000+00:00
Grid Dynamics Poland,Senior Ruby Developer,4,senior,"Bootstrap, PostgreSQL, Ruby, Ruby on Rails",,full_time,hybrid,B2B,22000.0-29000.0,False,małopolskie,Kraków,al. 3 Maja 9,True,True,2025-02-28 11:01:25.497000+00:00
Grid Dynamics Poland,Senior Machine Learning Engineer,25,senior,"Azure, Data Science, Hadoop, Machine Learning, Spark",,full_time,hybrid,B2B,24000.0-30000.0,False,pomorskie,Gdańsk,,False,True,2025-02-28 11:01:25.497000+00:00
Grid Dynamics Poland,Senior Search Developer,6,senior,"English, Java, RESTful, Solr",,full_time,hybrid,B2B,22000.0-29000.0,False,pomorskie,Gdańsk,,False,True,2025-02-28 11:01:25.497000+00:00
Future Processing,Cloud Data Architect (AWS),19,senior,"AWS, CI/CD, Data Lake, Data Lakehouse, Databricks, Delta Lake, Terraform",,full_time,remote,B2B,24800.0-40000.0,False,śląskie,Gliwice,Bojkowska,False,True,2025-02-28 11:01:25.497000+00:00
Grid Dynamics Poland,Senior Data Platform Engineer (Python),19,senior,"Amazon AWS, Data, PySpark, Python",,full_time,hybrid,B2B,21000.0-29000.0,False,pomorskie,Gdańsk,,False,True,2025-02-28 11:01:25.497000+00:00
Grid Dynamics Poland,Senior Fullstack Developer (Java/React),1,senior,"AWS, Java, JavaScript, NextJS, Node.js, ReactJS, Scala, TypeScript",,full_time,hybrid,B2B,19000.0-24000.0,False,pomorskie,Gdańsk,,False,True,2025-02-28 11:01:25.497000+00:00
Reply Polska Sp. z o. o.,Java Developer Backend (B2B),6,mid,"Databases, Java, Kafka, Microservices, Spring, Spring Boot",,full_time,hybrid,B2B,16000.0-25000.0,False,śląskie,Katowice,Wrocławska 54,False,False,2025-02-28 11:01:25.497000+00:00
Reply Polska Sp. z o. o.,Senior Java Software Developer (B2B),6,senior,"DevOps, Java, Kafka, Kubernetes, Microservices, NoSQL, OpenShift",,full_time,hybrid,B2B,25000.0-31000.0,False,śląskie,Katowice,Wrocławska 54,False,False,2025-02-28 11:01:25.497000+00:00
Reply Polska Sp. z o. o.,Senior Java Software Developer (UoP),6,senior,"DevOps, Java, Kafka, Kubernetes, Microservices, NoSQL, OpenShift",,full_time,hybrid,Permanent,16000.0-22000.0,True,śląskie,Katowice,Wrocławska 54,False,False,2025-02-28 11:01:25.497000+00:00
Piwik PRO,Mobile SDK Developer,10,mid,"Android, Android SDK, Google Play, Java, Jetpack Compose, Kotlin, REST API, XML, testy jednostkowe",,full_time,remote,B2B,14000.0-20000.0,False,dolnośląskie,Wrocław,Świętego Antoniego 2/4,False,True,2025-02-28 11:01:25.497000+00:00
Reply Polska Sp. z o. o.,Java Developer Backend (UoP),6,mid,"Databases, Java, Kafka, Microservices, Spring, Spring Boot",,full_time,hybrid,Permanent,9000.0-17000.0,True,śląskie,Katowice,Katowice ul.Wrocławska 54,False,False,2025-02-28 11:01:25.497000+00:00
Fingoweb,Junior Project Manager,15,junior,"Asana, Jira",,full_time,hybrid,B2B,6000.0-9000.0,False,małopolskie,Kraków,"Ostatnia 1C, B14/III p.",True,True,2025-02-28 11:01:25.497000+00:00
Detable,Programista Big Data,19,senior,"Apache, Apache Spark, Big Data, ETL tools, Hadoop, Python, SQL",,full_time,remote,B2B,23520.0-26040.0,False,mazowieckie,Warszawa,al. Jana Pawła II 27,False,False,2025-02-28 10:55:53.238000+00:00
Altimetrik Poland,Senior Java Scala Developer,6,senior,"English, Java, Scala",,full_time,remote,B2B,24000.0-30000.0,False,małopolskie,Kraków,Wielicka 28,False,False,2025-02-28 10:51:22.329000+00:00
Sofomo,.Net Developer - Remote/Wroclaw,7,mid,".Net, C#, CI / CD (Azure), Design Patterns, Docker, Kubernetes, Microservices, TSQL",,full_time,remote,B2B,16000.0-21000.0,False,dolnośląskie,Wrocław,Romana Dmowskiego 3,True,True,2025-02-28 10:43:13.074000+00:00
Power Media,QA Manual Tester,11,mid,".Net, Azure DevOps, English, Manual Testing, Microsoft TFS, SQL, Test planning",,full_time,hybrid,Permanent,7500.0-13000.0,True,mazowieckie,Warszawa,Rondo Daszyńskiego,True,True,2025-02-28 10:36:35.571000+00:00
Addepto,Engineering Manager (AI & Big Data),19,senior,"Big Data, Data Science, Generative AI, Machine Learning, Project Management, Python, Team Management",,full_time,remote,B2B,24000.0-30000.0,False,mazowieckie,Warszawa,Tadeusza Czackiego 15/17,True,True,2025-02-28 10:00:47.384000+00:00
ZEN.COM,Java Software Engineer (Poland/remote),6,mid,"Apache Kafka, Elasticsearch, Java, Kotlin, MongoDB, MsSQL, OOP, Redis, Spring, Spring Boot",,full_time,remote,B2B,20000.0-25000.0,False,mazowieckie,Warszawa,,False,False,2025-02-28 10:00:18.416000+00:00
Qodeca,QA Engineer,11,mid,"Azure, English, Polish, REST API, Relational Databases, SQL, Test Automation, Test Cases, Testing, Testing Mobile Apps",,full_time,remote,B2B,9000.0-12000.0,False,mazowieckie,Warszawa,Grzybowska 87,False,True,2025-02-28 10:00:18.416000+00:00
ITDS,AI Solutions Developer (.NET OR Python + MS Azure) 🖥️ (2d office/month),7,mid,".Net, AI, MS Azure, Machine Learning, Modular Testing and Test Automation, Python",,full_time,remote,B2B,16000.0-21000.0,False,łódzkie,Łódź,płk. Jana Kilińskiego 74,False,True,2025-02-28 10:00:18.416000+00:00
7N,SAP Basis Consultant,22,mid,"SAP, SAP HANA",,full_time,remote,B2B,31920.0-35280.0,False,pomorskie,Gdańsk,Bernarda Chrzanowskiego 11,False,True,2025-02-28 10:00:18.416000+00:00
Sparta Loyalty,Java Developer,6,mid,"Git, Groovy, Java, MongoDB, Spring Boot",,full_time,hybrid,B2B,12000.0-18000.0,False,małopolskie,Kraków,Wadowicka 6,False,False,2025-02-28 10:00:18.416000+00:00
Appfire,Senior Backend Engineer,7,senior,".Net, Azure, C#, Docker, Kubernetes, Microservice Architecture, REST API",,full_time,remote,Permanent,20000.0-26000.0,True,mazowieckie,Warszawa,Łopuszańska 95,False,True,2025-02-28 10:00:18.416000+00:00
Sparta Loyalty,Junior Java Developer,6,junior,"Git, Groovy, Java, MongoDB, Spring Boot",,full_time,hybrid,B2B,7000.0-10000.0,False,małopolskie,Kraków,Wadowicka 6,False,False,2025-02-28 10:00:18.416000+00:00
BRAVER IT SPÓŁKA AKCYJNA,Senior Node.js Developer,1,senior,"CI/CD, Express.js, JavaScript, Node, Node.js",,full_time,remote,B2B,26000.0-34000.0,False,małopolskie,Kraków,Armii Krajowej,False,True,2025-02-28 10:00:18.416000+00:00
Spyrosoft,React Developer with C#,1,mid,".NET C#, JavaScript, React",,full_time,remote,B2B,11760.0-16800.0,False,małopolskie,Kraków,Zabłocie 43A,False,True,2025-02-28 10:00:18.416000+00:00
Nord Security,Android Engineer,10,senior,"Android, Android SDK, Kotlin",,full_time,hybrid,Permanent,22900.0-33400.0,True,mazowieckie,Warszawa,,False,False,2025-02-28 10:00:18.416000+00:00
SCALO,Fullstack Developer (Java+Angular),6,mid,"Angular, Java, MS SQL",,full_time,remote,B2B,21000.0-22680.0,False,dolnośląskie,Wrocław,Powstańców Śląskich,False,False,2025-02-28 10:00:18.416000+00:00
Nord Security,Low-level engineer,9,senior,"C/C++, Systems Programming",,full_time,hybrid,Permanent,19800.0-33400.0,True,mazowieckie,Warszawa,,False,False,2025-02-28 10:00:18.416000+00:00
Spyrosoft,Senior/Lead Angular Developer with Micro Frontends,1,senior,"Angular, JavaScript, Micro frontends, RESTfull Web Services, TypeScript, web security",,full_time,remote,B2B,21840.0-27720.0,False,małopolskie,Kraków,Zabłocie 43A,False,True,2025-02-28 10:00:18.416000+00:00
Nord Security,Mobile engineer,10,mid,"CI/CD, Git, Swift, iOS",,full_time,hybrid,Permanent,18000.0-22900.0,True,mazowieckie,Warszawa,,False,False,2025-02-28 10:00:18.416000+00:00
H2B Group,C++ Developer,9,senior,"C++, Linux, Python",,freelance,remote,B2B,20160.0-23520.0,False,pomorskie,Gdańsk,Abrahama 1,False,False,2025-02-28 10:00:18.416000+00:00
Nord Security,macOS engineer,10,mid,"CI/CD, Git, MacOS, Swift, iOS",,full_time,hybrid,Permanent,18000.0-33400.0,True,mazowieckie,Warszawa,,False,False,2025-02-28 10:00:18.416000+00:00
Nord Security,QA automation engineer,11,mid,"GitHub, Linux, Python, QA",,full_time,hybrid,Permanent,14500.0-26800.0,True,mazowieckie,Warszawa,,False,False,2025-02-28 10:00:18.416000+00:00
Nord Security,Low-level engineer,9,mid,"CI/CD, GitHub, GitLab, Software Development",,full_time,hybrid,Permanent,22400.0-33400.0,True,mazowieckie,Warszawa,,False,False,2025-02-28 10:00:18.416000+00:00
Appfire,QA Manager,11,senior,"Cypress, JMeter, Jenkins/Gitlab/GitHub, Leadership, Quality Assurance, Selenium, Test Automation, wiremock",,full_time,remote,Permanent,21500.0-26100.0,True,mazowieckie,Warszawa,Łopuszańska 95,False,True,2025-02-28 10:00:18.416000+00:00
B2Bnetwork,Front-end Developer,1,mid,"Angular 11+, HTML, Java, JavaScript, Jenkins, Swagger, UX/UI",,full_time,hybrid,B2B,20000.0-26000.0,False,pomorskie,Gdynia,Gdynia,False,True,2025-02-28 10:00:18.416000+00:00
ITLT,Test Automation Engineer,11,mid,Automated Testing,,full_time,hybrid,B2B,13360.0-20040.0,False,mazowieckie,Warszawa,Taśmowa 7C,False,True,2025-02-28 10:00:18.416000+00:00
DCG,Data Scientist,19,mid,"English, Python, Time series modeling",,full_time,remote,B2B,19000.0-21000.0,False,mazowieckie,Warszawa,Towarowa 28,False,False,2025-02-28 10:00:18.416000+00:00
Automation House,Senior Automation Hero,25,senior,"AI, Airtable, Automatyzacja procesów biznesowych, Buble, Clickup, Make, n8n",,full_time,remote,B2B,16000.0-16000.0,False,mazowieckie,Warszawa,al. Jana Pawła II 22,False,True,2025-02-28 10:00:18.416000+00:00
Lingaro,Java Developer,6,senior,"Cloud, Hibernate, Java, SQL, Spring",,full_time,remote,B2B,120.0-150.0,False,mazowieckie,Warszawa,Puławska,False,True,2025-02-28 10:00:18.416000+00:00
PQ Software,Full Stack Developer (React + NestJS) - Projekt AI,1,mid,"MySQL, Nest.js, Node.js, React, Tailwind CSS, shadcn",,full_time,remote,B2B,12000.0-18000.0,False,zachodniopomorskie,Szczecin,Centrum,False,True,2025-02-28 10:00:18.416000+00:00
Link Group,Data Analyst (Treasury/Liquidity),19,senior,"Analiza Danych, Data, English, Finanse, księgowość, rachunkowość",,full_time,hybrid,Permanent,33600.0-42000.0,True,mazowieckie,Warszawa,,False,False,2025-02-28 10:00:18.416000+00:00
Antal Sp. z o.o.,IT Support Specialist,21,mid,"IT Support, Linux, Microsoft Windows",,full_time,hybrid,B2B,10000.0-14000.0,False,dolnośląskie,Wrocław,,False,False,2025-02-28 10:00:18.416000+00:00
H2B Group Sp. z o.o.,DevOps Engineer,12,mid,"AWS, Bash, CI/CD, Groovy, Jenkins, Linux, Powershell, Python, redhat",,full_time,remote,B2B,20000.0-26000.0,False,pomorskie,Gdańsk,Abrahama 4,False,True,2025-02-28 10:00:18.416000+00:00
Optiveum,Senior Data Architect- Snowflake,19,senior,"DBT, Fivetran, Power BI, SQL, Snowflake",,full_time,remote,B2B,28000.0-30000.0,False,mazowieckie,Warszawa,Sienna 75,False,True,2025-02-28 10:00:18.416000+00:00
Tesco Technology,Software Development Engineer II - Java,6,mid,"Azure, CI/CD, Java, Microservices, NoSQL, Spring",,full_time,hybrid,B2B,20000.0-27000.0,False,małopolskie,Kraków,Przy Rondzie 4,True,True,2025-02-28 10:00:18.416000+00:00
Hard Rock Digital,Senior Mobile Engineer,10,senior,"API, Android, Java, Mobile Apps, REST, React Native, Swift, TypeScript, iOS",,full_time,remote,B2B,28000.0-33000.0,False,łódzkie,Poland (Remote),,False,False,2025-02-28 09:52:47.438000+00:00
Kyotu Technology,Senior Fullstack Developer,1,senior,"Amazon AWS, CSS, GraphQL, JavaScript, SaaS, Web APIs",,full_time,hybrid,B2B,18700.0-27000.0,False,dolnośląskie,Wrocław,Wybrzeże Stanisława Wyspiańskiego 39A,True,True,2025-02-28 09:47:56.175000+00:00
7N,IT Asset Manager,15,mid,"Asset management, English, ITIL, ServiceNow",,full_time,hybrid,B2B,23520.0-26880.0,False,mazowieckie,Warszawa,Mokotów,False,True,2025-02-28 09:44:39.725000+00:00
Link Group,AI Engineer,25,mid,"Hugging Face, OpenAI, Prompt Engineering, Python, Vector Database, fastapi, rag",,full_time,remote,Permanent,20000.0-26000.0,True,mazowieckie,Warszawa,,False,True,2025-02-28 09:40:37.227000+00:00
